iter	Passed	Remaining
138	2328	14424
139	2347	14420
140	2363	14395
141	2375	14352
142	2397	14370
143	2544	15123
144	2562	15111
145	2595	15184
146	2609	15140
147	2619	15080
148	2628	15014
149	2639	14956
150	2644	14869
151	2658	14831
152	2700	14951
153	2723	14960
154	2773	15121
155	2823	15277
156	2840	15249
157	2847	15175
158	2861	15137
159	2991	15705
160	3003	15652
161	3019	15619
162	3025	15537
163	3053	15565
164	3067	15524
165	3074	15445
166	3089	15412
167	3100	15356
168	3148	15483
169	3155	15408
170	3162	15332
171	3171	15268
172	3255	15562
173	3262	15485
174	3270	15415
175	3275	15336
176	3287	15287
177	3337	15411
178	3346	15346
179	3354	15280
180	3366	15232
181	3372	15156
182	3377	15076
183	3384	15010
184	3453	15213
185	3461	15150
186	3468	15080
187	3480	15034
188	3509	15060
189	3526	15034
190	3544	15014
191	3557	14972
192	3575	14951
193	3590	14918
194	3607	14892
195	3616	14834
196	3623	14771
197	3633	14716
198	3652	14703
199	3683	14732
200	3686	14655
201	3697	14605
202	3706	14550
203	3715	14497
204	3768	14614
205	3781	14576
206	3798	14550
207	3817	14534
208	3830	14497
209	3839	14444
210	3843	14372
211	3851	14317
212	3856	14250
213	3861	14182
214	3872	14140
215	3877	14072
216	3885	14021
217	3890	13954
218	3898	13903
219	3919	13896
220	3935	13873
221	3941	13814
222	3951	13769
223	3963	13730
224	3969	13671
225	3980	13632
226	3993	13598
227	4015	13597
228	4022	13544
229	4027	13483
230	4033	13428
231	4058	13435
232	4065	13382
233	4073	13335
234	4078	13277
235	4083	13219
236	4092	13174
237	4096	13117
238	4102	13064
239	4108	13008
240	4112	12951
241	4117	12895
242	4126	12855
243	4142	12835
244	4146	12779
245	4152	12727
246	4156	12672
247	4165	12630
248	4171	12580
249	4178	12536
250	4183	12483
251	4187	12430
252	4194	12383
253	4198	12330
254	4202	12278
255	4211	12238
256	4216	12189
257	4221	12141
258	4228	12096
259	4231	12044
260	4236	11995
261	4241	11948
262	4247	11903
263	4257	11868
264	4261	11820
265	4271	11785
266	4275	11737
267	4279	11687
268	4285	11644
269	4289	11596
270	4293	11549
271	4300	11509
272	4305	11466
273	4310	11421
274	4317	11382
275	4321	11335
276	4325	11289
277	4329	11244
278	4334	11202
279	4339	11158
280	4348	11126
281	4352	11082
282	4356	11037
283	4369	11017
284	4383	10996
285	4400	10986
286	4404	10942
287	4412	10909
288	4417	10867
289	4422	10827
290	4432	10799
291	4438	10762
292	4449	10735
293	4453	10693
294	4461	10661
295	4464	10619
296	4469	10579
297	4477	10547
298	4482	10509
299	4502	10506
300	4508	10469
301	4533	10477
302	4539	10442
303	4548	10413
304	4563	10399
305	4571	10368
306	4628	10447
307	4633	10410
308	4638	10373
309	4648	10347
310	4654	10311
311	4662	10281
312	4668	10245
313	4678	10220
314	4694	10208
315	4700	10174
316	4714	10157
317	4798	10291
318	4825	10302
319	4830	10264
320	4841	10241
321	4845	10203
322	4855	10176
323	4861	10143
324	4877	10130
325	4895	10121
326	4906	10097
327	4915	10070
328	4923	10041
329	4928	10005
330	4989	10085
331	4995	10051
332	5002	10020
333	5007	9985
334	5012	9950
335	5022	9925
336	5028	9892
337	5046	9883
338	5053	9854
339	5058	9818
340	5062	9783
341	5071	9758
342	5125	9816
343	5135	9792
344	5140	9758
345	5145	9725
346	5151	9695
347	5159	9665
348	5168	9640
349	5172	9606
350	5181	9580
351	5188	9550
352	5195	9522
353	5200	9489
354	5235	9512
355	5245	9488
356	5256	9467
357	5264	9440
358	5268	9406
359	5272	9372
360	5279	9344
361	5282	9310
362	5286	9276
363	5293	9249
364	5298	9218
365	5302	9185
366	5309	9157
367	5314	9126
368	5318	9094
369	5327	9070
370	5331	9039
371	5338	9011
372	5343	8981
373	5346	8949
374	5350	8917
375	5357	8890
376	5361	8859
377	5365	8828
378	5371	8800
379	5375	8770
380	5379	8740
381	5386	8713
382	5389	8682
383	5395	8655
384	5403	8632
385	5408	8603
386	5411	8572
387	5419	8548
388	5423	8518
389	5436	8502
390	5440	8474
391	5452	8457
392	5456	8427
393	5460	8398
394	5464	8370
395	5468	8340
396	5472	8311
397	5477	8285
398	5479	8252
399	5482	8224
400	5486	8195
401	5492	8169
402	5495	8141
403	5499	8113
404	5503	8085
405	5509	8060
406	5512	8032
407	5516	8004
408	5519	7976
409	5524	7949
410	5528	7922
411	5531	7894
412	5537	7869
413	5540	7842
414	5544	7815
415	5547	7788
416	5553	7763
417	5556	7737
418	5563	7714
419	5572	7694
420	5575	7668
421	5581	7645
422	5585	7618
423	5590	7594
424	5593	7568
425	5599	7544
426	5602	7518
427	5606	7492
428	5621	7481
429	5624	7455
430	5629	7432
431	5635	7409
432	5638	7383
433	5644	7361
434	5649	7337
435	5653	7312
436	5656	7287
437	5664	7267
438	5669	7245
439	5676	7224
440	5680	7200
441	5684	7176
442	5689	7153
443	5693	7129
444	5696	7105
445	5700	7080
446	5707	7061
447	5711	7037
448	5715	7013
449	5719	6990
450	5723	6967
451	5726	6942
452	5730	6919
453	5736	6898
454	5739	6875
455	5743	6851
456	5747	6828
457	5751	6806
458	5755	6783
459	5759	6761
460	5764	6739
461	5768	6717
462	5773	6696
463	5779	6676
464	5783	6654
465	5787	6631
466	5791	6609
467	5798	6591
468	5802	6569
469	5807	6549
470	5813	6529
471	5832	6524
472	5836	6502
473	5840	6481
474	5847	6463
475	5855	6446
476	5861	6426
477	5864	6404
478	5868	6382
479	5871	6360
480	5876	6341
481	5880	6319
482	5883	6298
483	5887	6276
484	5965	6334
485	5969	6313
486	5975	6294
487	5979	6273
488	5982	6252
489	5989	6233
490	5993	6212
491	5997	6192
492	6072	6244
493	6076	6223
494	6082	6205
495	6089	6187
496	6093	6166
497	6097	6146
498	6113	6137
499	6117	6117
500	6122	6098
501	6126	6077
502	6130	6057
503	6134	6037
504	6139	6017
505	6142	5997
506	6189	6018
507	6195	6000
508	6203	5983
509	6207	5963
510	6211	5944
511	6228	5936
512	6235	5919
513	6238	5898
514	6332	5963
515	6338	5945
516	6342	5925
517	6345	5904
518	6349	5885
519	6354	5865
520	6359	5846
521	6374	5837
522	6382	5820
523	6388	5802
524	6396	5787
525	6400	5767
526	6404	5748
527	6411	5731
528	6418	5714
529	6422	5695
530	6430	5679
531	6434	5660
532	6438	5641
533	6446	5625
534	6452	5608
535	6458	5590
536	6461	5570
537	6464	5551
538	6467	5531
539	6471	5512
540	6475	5494
541	6479	5475
542	6483	5456
543	6492	5442
544	6496	5423
545	6499	5404
546	6507	5388
547	6510	5370
548	6513	5350
549	6517	5332
550	6521	5314
551	6526	5296
552	6530	5278
553	6537	5262
554	6540	5244
555	6545	5227
556	6551	5210
557	6554	5192
558	6569	5182
559	6609	5192
560	6625	5184
561	6639	5174
562	6643	5156
563	6656	5146
564	6685	5147
565	6689	5129
566	6696	5114
567	6701	5096
568	6705	5078
569	6709	5061
570	6715	5045
571	6721	5029
572	6734	5018
573	6770	5024
574	6777	5009
575	6781	4991
576	6785	4974
577	6792	4959
578	6813	4954
579	6817	4936
580	6829	4924
581	6833	4907
582	6865	4910
583	6872	4895
584	6879	4880
585	6883	4862
586	6893	4850
587	6903	4837
588	6908	4820
589	6913	4804
590	6919	4788
591	6923	4771
592	6927	4754
593	6931	4737
594	6938	4722
595	6952	4712
596	6955	4695
597	6959	4678
598	6963	4662
599	6974	4649
600	6979	4633
601	6996	4625
602	7000	4609
603	7018	4601
604	7025	4586
605	7072	4598
606	7076	4581
607	7080	4565
608	7105	4561
609	7110	4545
610	7113	4528
611	7157	4537
612	7160	4520
613	7165	4504
614	7177	4493
615	7191	4483
616	7195	4466
617	7215	4459
618	7223	4446
619	7297	4472
620	7304	4457
621	7308	4441
622	7312	4424
623	7314	4407
624	7318	4391
625	7322	4375
626	7326	4358
627	7345	4351
628	7355	4338
629	7392	4341
630	7401	4328
631	7405	4312
632	7426	4305
633	7449	4300
634	7467	4292
635	7491	4287
636	7497	4272
637	7501	4256
638	7505	4240
639	7510	4224
640	7513	4208
641	7517	4192
642	7521	4175
643	7535	4165
644	7562	4162
645	7566	4146
646	7568	4129
647	7583	4119
648	7586	4103
649	7594	4089
650	7598	4073
651	7615	4064
652	7619	4049
653	7636	4040
654	7645	4027
655	7653	4013
656	7659	3998
657	7663	3983
658	7667	3967
659	7671	3952
660	7674	3936
661	7677	3919
662	7680	3904
663	7696	3894
664	7704	3881
665	7708	3865
666	7711	3850
667	7715	3834
668	7720	3819
669	7723	3804
670	7727	3788
671	7737	3776
672	7739	3760
673	7744	3745
674	7757	3735
675	7771	3724
676	7778	3710
677	7787	3698
678	7793	3684
679	7828	3683
680	7836	3670
681	7839	3655
682	7845	3641
683	7849	3626
684	7853	3611
685	7860	3597
686	7863	3582
687	7867	3567
688	7869	3552
689	7875	3538
690	7876	3522
691	7879	3507
692	7885	3493
693	7890	3479
694	7894	3464
695	7899	3450
696	7910	3438
697	7914	3424
698	7920	3410
699	7924	3396
700	7928	3381
701	7930	3366
702	7937	3353
703	7945	3340
704	7951	3327
705	7955	3312
706	7958	3298
707	7962	3284
708	7969	3270
709	7972	3256
710	7975	3241
711	7977	3227
712	7985	3214
713	7989	3200
714	7992	3186
715	7998	3172
716	8001	3158
717	8006	3144
718	8014	3132
719	8018	3118
720	8022	3104
721	8032	3092
722	8038	3079
723	8044	3066
724	8047	3052
725	8051	3038
726	8054	3024
727	8060	3011
728	8062	2997
729	8065	2982
730	8069	2969
731	8076	2956
732	8080	2943
733	8083	2929
734	8085	2915
735	8091	2902
736	8095	2888
737	8098	2874
738	8101	2861
739	8109	2849
740	8114	2836
741	8118	2822
742	8124	2810
743	8126	2796
744	8131	2783
745	8173	2783
746	8176	2769
747	8179	2755
748	8181	2741
749	8183	2727
750	8188	2714
751	8191	2701
752	8193	2687
753	8196	2674
754	8201	2661
755	8204	2648
756	8207	2634
757	8210	2621
758	8212	2607
759	8218	2595
760	8221	2582
761	8224	2568
762	8227	2555
763	8231	2542
764	8234	2529
765	8237	2516
766	8240	2503
767	8249	2492
768	8253	2479
769	8257	2466
770	8264	2454
771	8269	2442
772	8273	2429
773	8280	2417
774	8283	2404
775	8286	2391
776	8289	2379
777	8296	2367
778	8299	2354
779	8304	2342
780	8309	2330
781	8314	2317
782	8317	2305
783	8320	2292
784	8325	2280
785	8328	2267
786	8330	2254
787	8333	2241
788	8336	2229
789	8343	2217
790	8346	2205
791	8364	2196
792	8368	2184
793	8379	2174
794	8383	2161
795	8392	2150
796	8395	2138
797	8398	2125
798	8400	2113
799	8406	2101
800	8409	2089
801	8412	2076
802	8416	2064
803	8423	2053
804	8427	2041
805	8431	2029
806	8437	2017
807	8440	2005
808	8444	1993
809	8452	1982
810	8455	1970
811	8458	1958
812	8461	1946
813	8466	1934
814	8470	1922
815	8473	1910
816	8476	1898
817	8483	1887
818	8486	1875
819	8491	1863
820	8499	1853
821	8507	1842
822	8514	1831
823	8520	1819
824	8524	1808
825	8530	1797
826	8534	1785
827	8537	1773
828	8542	1762
829	8545	1750
830	8547	1738
831	8550	1726
832	8553	1714
833	8560	1703
834	8564	1692
835	8567	1680
836	8573	1669
837	8598	1662
838	8601	1650
839	8605	1639
840	8614	1628
841	8618	1617
842	8621	1605
843	8627	1594
844	8631	1583
845	8640	1572
846	8644	1561
847	8647	1550
848	8650	1538
849	8656	1527
850	8659	1516
851	8662	1504
852	8665	1493
853	8669	1482
854	8672	1470
855	8675	1459
856	8680	1448
857	8683	1437
858	8686	1425
859	8693	1415
860	8699	1404
861	8709	1394
862	8718	1384
863	8726	1373
864	8729	1362
865	8731	1351
866	8734	1339
867	8739	1329
868	8742	1317
869	8746	1306
870	8754	1296
871	8758	1285
872	8768	1275
873	8771	1264
874	8775	1253
875	8778	1242
876	8803	1234
877	8808	1223
878	8811	1212
879	8818	1202
880	8821	1191
881	8825	1180
882	8832	1170
883	8835	1159
884	8841	1148
885	8850	1138
886	8854	1127
887	8859	1117
888	8865	1106
889	8871	1096
890	8875	1085
891	8881	1075
892	8884	1064
893	8888	1053
894	8891	1043
895	8895	1032
896	8899	1021
897	8906	1011
898	8909	1001
899	8912	990
900	8915	979
901	8920	969
902	8923	958
903	8925	947
904	8929	937
905	8932	926
906	8934	916
907	8937	905
908	8940	895
909	8949	885
910	8952	874
911	8959	864
912	8963	854
913	8965	843
914	8968	833
915	8972	822
916	8978	812
917	8981	802
918	8984	791
919	9003	782
920	9010	772
921	9014	762
922	9017	752
923	9025	742
924	9028	732
925	9092	726
926	9095	716
927	9098	705
928	9106	696
929	9109	685
930	9111	675
931	9114	664
932	9116	654
933	9122	644
934	9125	634
935	9128	624
936	9131	613
937	9136	603
938	9138	593
939	9141	583
940	9144	573
941	9147	563
942	9150	553
943	9153	543
944	9156	532
945	9158	522
946	9163	512
947	9165	502
948	9173	492
949	9183	483
950	9200	474
951	9203	464
952	9206	454
953	9209	444
954	9226	434
955	9228	424
956	9231	414
957	9234	404
958	9245	395
959	9259	385
960	9264	375
961	9266	366
962	9269	356
963	9275	346
964	9278	336
965	9280	326
966	9283	316
967	9286	306
968	9294	297
969	9311	287
970	9315	278
971	9321	268
972	9325	258
973	9329	249
974	9333	239
975	9340	229
976	9345	220
977	9348	210
978	9352	200
979	9355	190
980	9358	181
981	9360	171
982	9363	161
983	9367	152
984	9370	142
985	9372	133
986	9375	123
987	9377	113
988	9380	104
989	9385	94
990	9391	85
991	9394	75
992	9399	66
993	9402	56
994	9405	47
995	9408	37
996	9413	28
997	9416	18
998	9498	9
999	9500	0
